"districtDemographics","sex_ratio","minors","voting_age_pop","seniors","med_age","white","black","amerindian","islander","asian","other_race","multiracial","hispanic","mexican","puerto_rican","cuban","other_hispanic","natural_born_citizen","born_in_state","born_out_of_state","born_abroad","foreign_born","disabled","same_house","diff_county","diff_state","abroad","labor_force_participation","unemployment","servicemen","car","walking_public_transit","worked_from_home","commute","private_sector","public_sector","self_employed","homeowner_vacancy","rental_vacancy","owner_occupied","renter_occupied","two_or_less","three_to_four","five_to_nine","ten_to_nineteen","twenty_to_twenty_nine","thirty_or_more","med_smoc_mort","med_smoc_no_mort","med_rent","med_hincome","mean_hincome","insured","private_coverage","public_coverage","uninsured","pov_families","pov_mcouples","pov_single_mothers","pov","no_hsdiploma","high_school","some_college","associates","bachelors","graduate","party","flipped"
"Pennsylvania 4",95.733618348093,21.227287221449,575593,23.3965666712417,41.2,79.5928840934938,9.65593313817827,0.111810439564199,0.0277815412870654,6.7421558202329,1.19775393765713,2.67168102958666,5.68864692945541,37.4840618760074,33.2282820506652,4.01761012341521,25.2700459499122,90.3696587249778,80.2743165559143,18.534161603557,1.1915218405287,9.6303412750222,9.75905277526418,89.4519932854843,4.81994459833795,1.42234441596839,0.236804111604645,67.6927820357082,3.3,0.182635169400859,85.0637217700782,6.29340800251223,7.85910553999948,29.7,86.8365624370828,8.29035605321439,4.59818179002308,1.7,6.7,71.7916975275985,28.2083024724015,24.1611116989384,9.96578845272105,14.258103198956,22.8275667477868,13.2670264169576,15.5204034846401,2033,776,1308,91030,123786,96.336224625668,86.2305227416801,28.9401013700296,3.66377537433196,4.3,2,16.9,6.4,5.26893206129831,23.7829802330693,14.3591750796307,8.06333438736397,27.9974317643702,20.5281464742675,"D",FALSE
"Pennsylvania 5",91.3244399564189,22.3231982310448,559252,21.0459685436977,38.6,63.3489033616538,25.7929116786324,0.284316217413709,0.0863921285937112,6.97720608967281,1.19921163710306,2.31105888693048,4.47794570074156,26.6439205955335,26.7741935483871,3.79032258064516,42.7915632754342,87.9282973111492,78.7168672795628,19.507155719837,1.77597700060026,12.0717026888508,11.398283524818,88.6340982675456,4.62896965147061,1.7400460844394,0.476027796874187,65.1630116844859,5.8,0.0274275556666545,76.082965644246,17.2597244277163,5.2684970906691,30.1,84.6149495018058,10.6811246206625,4.45504091046646,1.4,4.9,66.7175743964065,33.2824256035935,23.1457982406888,11.0593299644395,15.5549316863185,22.4866180048662,12.283361407449,15.4699606962381,1784,679,1110,71880,106017,94.7452976844733,75.9690715990701,38.3152863265551,5.25470231552671,8.6,3.7,22.7,11.4,7.80922292993631,30.180076433121,15.9777834394904,6.84168152866242,22.5665222929936,16.6247133757962,"D",FALSE
"Pennsylvania 6",97.7056153672414,23.2363593337531,564430,21.3564126641036,39.3,78.0348518869605,7.01335404191311,0.212299209964055,0.0409366189616787,4.66473453078611,6.98016954016345,3.05365417125107,16.0704109846141,22.8717957397832,45.6335739613923,1.36167835955418,30.1329519392703,90.2758529708969,68.4348650085947,27.1043398218996,4.4607951695057,9.72414702910308,9.72435682115755,86.2503904223717,6.81832253910071,2.61290602206729,0.341094998878611,67.1082950294143,4,0.0771495383857443,85.6033491858558,5.01805880141856,7.55500716359694,28.6,85.7923075900395,9.01790818564952,5.02386428599918,1.4,5.4,69.7055134367126,30.2944865632874,23.8275483133346,11.289946608354,15.7962311343967,22.8370463282606,12.8794858417787,13.3697417738755,2085,748,1180,85665,125773,95.1725083460724,80.8039482896219,33.1087018528496,4.82749165392762,5.7,2.3,20.5,8.5,8.59525634302771,24.3937315961438,13.3820741398088,6.97370013311282,27.716510023799,18.9387277641079,"D",FALSE
"Pennsylvania 7",96.503609220908,21.0974657776769,577146,22.9636868314083,40.6,82.0304948822025,7.52405781805604,0.18688471250241,0.030213256373835,2.99042882317316,4.10476480825519,3.13315569943688,20.4757015695855,7.07270335774806,56.0748599547315,1.0068570436594,35.845579643861,90.1687977721483,63.1509123575744,31.157522875272,5.69156476715361,9.8312022278517,11.5125606164611,87.7402297042382,6.02949476383076,2.64671830389239,0.371892900364441,63.8064857332337,4.4,0.0421413161186337,89.6622902949716,4.16025687642297,4.43688011501261,27.6,85.8634476226141,10.043450486271,4.01903230425253,1.5,4.6,66.2631071272698,33.7368928727302,25.824020655989,10.7992826151538,13.347539215938,23.0282002662686,11.9153368517955,15.0856203948551,1640,656,1118,69105,89627,94.7324572086535,75.773906742594,38.7552336402177,5.26754279134652,6.8,3.2,20.7,10,9.39385222808462,34.803355622717,16.5503599531884,9.17122108257842,18.8712403904123,11.2099707230193,"D",FALSE
"Pennsylvania 8",97.6806273986317,19.728229845788,561078,24.8514466794278,43,84.281653225518,7.9126089276696,0.27611939230843,0.0346222243205388,1.89349230943112,3.40599708429367,2.19550683645863,12.6788874534496,16.8569881067906,39.7012028615919,1.04601566202523,42.3957933695922,93.2857206215405,64.7778824063481,32.8239591928127,2.39815840083921,6.71427937845954,15.2758137088763,86.7603348495588,5.60291253866952,3.44507015008755,0.381967551524478,60.1045793717968,4.7,0.098832872055568,89.3370597205824,4.55990505706415,4.74130509641873,28.5,83.2661601678774,11.8028954611935,4.83071453877623,2.1,3.3,68.8862275449102,31.1137724550898,22.786064235166,9.50607875158773,14.3175467247324,21.8432226456179,12.1814552712756,19.3656323716204,1339,534,826,56149,72782,93.7272833518378,71.1562980258174,46.44753125867,6.27271664816222,11.1,4.7,28.8,14.6,8.62202755944881,38.7620247595048,18.9856202875942,9.31021379572408,15.0144997100058,9.30561388772225,"D",FALSE
"Pennsylvania 9",99.2529069436378,19.4526686404737,563696,25.0665252192671,44.2,92.2248482492941,2.61691377359138,0.306502131940237,0.01157420638096,1.24987139770688,2.14622938076567,1.44406086032076,7.11999451296883,11.4634342136951,59.416392389821,2.62904391105403,26.4911294854299,96.6017558499754,82.9237482434731,14.7449153169144,2.33133643961245,3.39824415002458,13.1198848737938,89.3754304302064,4.04420310674958,1.28136455579603,0.17975198557364,61.5405441292363,3.6,0.131747080094982,91.6891444255158,3.39916950596252,4.04984147264812,25.9,82.8653493784975,12.2497312697178,4.78441859584422,1.5,5.9,76.2692980482388,23.7307019517612,19.0933637214839,10.1790626610439,13.9109259433996,22.9014393241056,14.017623191772,19.897585158195,1311,530,833,62078,77914,94.4989861713179,77.8811523207888,39.890566584192,5.50101382868208,6.7,2.9,22.8,9.8,10.7020682233769,43.3715396421062,15.66822655355,8.9517123348866,13.6077463572306,7.69870688884962,"R",FALSE
"Rhode Island 1",98.2800412969641,20.1314553282044,423356,21.4394032445507,39.3,75.8603645583757,8.59270355012395,0.356559371851807,0,3.17337840948108,7.33984069908276,4.67715341108466,19.0840385914207,6.74489412602068,36.2274857154155,1.36123687696475,55.6663832815991,84.3579856093392,61.2604634207978,34.8522765138554,3.88726006534676,15.6420143906608,12.8708304304887,86.2706471832193,5.82941187677418,4.32909752519576,0.630798834041418,64.5893379985109,4.3,0.640624500404244,88.0273547819692,7.03657792284102,3.84392307604827,25.3,83.7265787647467,12.1402401259579,3.96379455724445,1.5,7.3,57.5412328000673,42.4587671999327,25.2006555656234,13.3054074261127,16.3708203977956,19.5010967355407,11.2570124230676,14.36500745186,1834,731,997,66652,90710,95.272510124867,75.3595994985696,39.7522178650638,4.72748987513302,7.1,2.5,22.4,12.2,12.9081501916377,28.5949111051745,15.9743538019507,8.30366537817783,20.2765253327082,13.9423941903511,"D",FALSE
"Rhode Island 2",92.6053826671713,18.3007585561927,432430,22.29031288301,40.8,81.5386504690201,6.15838048725191,0.274138240489708,0.0472326396432991,3.83151172786442,4.40774993151267,3.74233650421787,13.5057009796049,6.5314401622718,21.3429390781283,1.65769042456459,70.4679303350353,88.2558875485315,69.8277153878759,27.4448017057204,2.72748290640373,11.7441124514685,11.425595220967,90.8444167148553,4.01664789846912,2.33226557506772,0.231115135283197,66.0930123396611,4.2,0.172186566288443,87.5417818374856,5.67683830932289,5.15770012264548,26.2,79.9526953638598,14.6294231978506,5.14813068084377,1,6.6,65.7537851284775,34.2462148715225,22.6220816622891,12.5046902943799,16.0863696390544,19.8532242423652,12.888685304394,16.0449488575174,1840,741,1093,74180,94367,96.5431047216739,77.5643458511258,35.7020369314287,3.45689527832611,6,2.1,20,9.5,8.64345959370084,28.2507353057241,18.779629269114,8.87707371998927,21.4948673292749,13.9542347821969,"D",FALSE
"South Carolina 1",93.014990209468,21.6578350933557,643273,24.0473329364049,39.8,72.0456651812736,19.0014212520414,0.380461986074896,0.544752389152693,2.0711064453232,2.94407428020952,3.01251846592466,6.12977358614651,48.5138679170309,10.8956528649766,3.39744099181435,37.1930382261782,92.9634018465316,43.8396811859631,54.3113126843078,1.84900612972912,7.03659815346843,11.0754047238685,84.9951477919679,7.81741887194487,4.09718719904904,0.730975583590535,64.1647206414704,3.3,1.44315717081945,89.2756533279393,1.74895038309167,7.26616114024658,26.7,78.0562598634266,16.6219150691967,5.23132462235386,1.9,11.1,72.1883684924174,27.8116315075826,32.9625628680324,14.069937781083,16.4497071768126,18.8211422508438,9.47740597442646,8.21924394880162,1624,477,1255,77185,104432,89.9158490645297,81.7305155545784,35.2427998241178,10.0841509354703,6.3,2.5,23.9,8.8,7.2956215580591,21.8866922538441,20.4749145657249,9.45897947853194,25.1519885237026,15.7318036201373,"R",TRUE
"South Carolina 2",92.9304769711809,22.5393125935932,559686,21.7389750681632,39,69.3581826385179,24.6315093101854,0.391257532434101,0.0578513082976491,1.92570120491266,1.21266307010527,2.422834935547,5.94221512382671,51.9599394433446,19.4107371608245,5.08210085012228,23.5472225457086,94.9572481599686,55.6086085823473,42.5256447254506,1.86574669220208,5.04275184003144,12.5995720399429,86.4798142578642,7.43542339886276,4.0329499159598,0.373667497505385,63.1294178192789,4.7,2.2260714587935,89.6241232505078,4.76817679815602,4.472697285027,25.3,74.2093629983966,19.5399118853617,5.81848146528515,2,4.2,74.6486854438342,25.3513145561658,25.139260626753,13.3907601509681,15.0843404410009,21.9744893777019,12.9484762410501,11.462673162526,1238,370,950,60781,82774,90.4579172610556,77.6726435476495,37.8733973600795,9.54208273894437,8.5,3.7,26.5,11.6,10.0857608618612,25.2703947834715,19.5607666838796,9.9648653848101,21.4392029403724,13.6790093456051,"R",FALSE
"South Carolina 3",95.8807361310451,21.641080625381,553967,24.1025187420911,40.6,75.1324330479333,19.2095462125916,0.219248303654657,0.0179642158478332,0.984778509705627,1.80278685811523,2.63324285215167,4.70987791405749,51.8605279754933,11.0460401838003,3.65498393248641,33.43844790822,96.0666854324354,68.0445083147563,31.0100507395966,0.945440945647084,3.93331456756455,15.4064661777229,86.7523167649537,6.86662196470838,2.7506031898859,0.559777407171799,57.9117096527695,4.7,0.131447039111628,93.6015530337576,1.59440021888395,3.83209776816541,27.6,80.6729486244551,14.1216670222692,4.89935386486891,1.5,6.7,72.9370647726974,27.0629352273026,24.0431092994739,12.4636724653224,14.9757566439545,21.0829074027547,12.1288029069528,15.3057512815417,1117,349,757,50815,70574,89.791062009303,70.542493078691,45.0618399566249,10.208937990697,10.6,4.3,32.1,15.1,13.5308281377347,32.1228657363546,19.6515673676415,10.8408388530104,14.3923942228529,9.46150568240585,"R",FALSE
"South Carolina 4",94.136878253214,22.5218392145839,584300,21.2827314735581,38.4,73.4601165818911,17.5957504362539,0.385733304338141,0.223430944589126,2.61937975039382,3.19274200819998,2.52284697433395,9.0076483661032,48.5831211081833,11.2422899707056,2.26406206297567,37.9105268581355,91.6806780631918,60.214952676278,38.4067005299331,1.37834679378891,8.31932193680816,12.655981268853,85.2389102551195,6.14058756015545,2.99176449268067,0.64219506138037,63.3168084035394,4,0.0832869708048535,91.3828853644425,2.00347153974138,5.11346176738469,23.7,84.5641374004567,9.71248045963841,5.29097064785336,2.4,6.2,70.4150779177719,29.5849220822281,28.5691589301503,13.3738118921309,15.3048325596817,20.7207393899204,9.99875663129973,12.032700596817,1213,365,927,60731,83293,89.7175593787003,76.3490241102181,36.9964720759511,10.2824406212997,7.7,3,24.5,11,12.0697689257202,24.4680419108534,19.9623738140307,10.0536936888164,21.1033405324511,12.3427811281282,"R",FALSE
"South Carolina 5",91.0745346116414,22.6801498228812,570779,22.5283340837697,40.1,68.128500890674,26.2192751336011,0.469381811285483,0.0361688148955913,1.7198474678443,0.872928251637418,2.55389763006211,4.40880243292852,47.3452958888957,9.21157745959565,9.24537577582499,34.1977508756836,94.9412426087604,56.412469804997,42.7284440138629,0.859086181140055,5.05875739123956,12.1090411895402,88.1789631202143,6.57385395265621,4.24209181510044,0.337994030732699,61.7820940223062,4.8,0.84427640227128,91.0198800552515,2.27271402677484,4.98895552486027,27.7,80.4224274390921,13.7113685083615,5.43688413034971,0.8,4.7,73.4295703562959,26.5704296437041,23.4782942785192,11.4523920127695,17.2891336921556,21.3857851886262,11.8344993311376,14.5598954967919,1219,347,892,56282,77076,90.0448503426489,76.7098272301878,39.2934607077638,9.9551496573511,8.7,3.3,26.1,12.4,11.0211457673262,29.4006743489247,22.6170918507045,10.6331213280449,17.1732106675429,9.15475603745688,"R",FALSE
"South Carolina 6",94.8725535286897,20.150327337778,531172,20.291543981987,36.9,38.1248167885571,54.3174763046534,0.197229467164751,0.0762159602534519,1.22486714821524,3.89407935780161,2.16531497335448,6.04285832400051,63.9683566346584,7.40832877257575,0.639335290312951,27.9839793024529,94.7663537352585,70.2874365482234,28.6545050761421,1.05805837563452,5.23364626474147,15.0461305598473,85.1172440149592,7.1483816959208,3.28498591130644,0.304673685232198,56.9309800904461,6.7,1.506698790923,89.410075596962,5.10059017133665,3.3459504651171,27.5,75.9451089278086,18.7160045564574,5.11319948739855,2.3,7.2,57.7145566241444,42.2854433758556,28.9224161972224,12.9000900376883,14.7633921101488,18.4557341258775,10.4208664334717,14.5375010955913,1097,359,870,41128,57268,86.8766564921933,66.6705825156739,47.8522773071731,13.1233435078067,17.5,6.7,36.4,23.5,15.5273811292886,32.6472853032166,20.077993776709,8.86886508247437,14.2336390941554,8.64483561415596,"D",FALSE
"South Carolina 7",91.4944894676686,19.8908628344875,593237,27.8022105836285,44.6,67.5264943230309,27.7555716400013,0.510981235213413,0.0128285458100619,1.09258699104432,1.42842481661931,1.6731124482807,4.2184309743213,56.0869426037965,9.32168123179359,2.60251608566215,31.9888600787477,95.7476746572753,56.0857828688125,42.9560282407629,0.958188890424599,4.25232534272473,14.4249597790474,90.0955788968773,4.12744397991944,2.69880247027979,0.175514141970228,55.1537106125784,5.1,0.0780939818415086,90.8195543460637,1.36926202276911,6.103659525225,23.9,80.880257152364,12.8246579986565,6.13185336790492,2.6,20,69.1253540709971,30.8746459290029,25.7363469188492,12.9049174898134,16.6400430577934,21.3588045942113,10.9483409984026,12.4115469409301,1175,367,880,49494,66621,86.9688207448689,68.3194446841594,51.4049999137026,13.0311792551312,11.9,5.6,28.9,16.5,13.2014624542983,34.9432830224056,20.0155620136871,9.43451767132277,14.0628105371707,8.34236430111559,"R",FALSE
"South Dakota At Large",103.275957546053,24.3335567715922,669390,22.9759930683159,37.7,84.0735243749286,2.35864892574427,8.56929054019684,0.234327577066418,1.30332704465789,0.669071359699048,2.79181017770689,3.73228554731258,62.1812344781634,7.17487431098189,0.781391968017445,29.8624992428372,95.8931068355152,66.3540120731746,33.0452761729852,0.600711753840205,4.10689316448485,11.9298286070068,84.6799845996599,8.08059511314208,3.08625565481238,0.530761720988005,67.8536597347543,3,0.377972961062717,88.7118039830718,3.57079913529817,6.11136270850669,17.9,75.4023952756775,15.9830012693857,8.30995088029141,1.1,6.9,67.8156241255628,32.1843758744372,28.6473393084774,11.7741994748431,17.1340224251623,19.9378743297748,10.9579167832583,11.5486476784841,1371,490,769,59533,77650,89.8147710436352,79.8909582935371,34.2146275585133,10.1852289563648,7.3,3.1,28.9,11.9,7.87274097025827,30.0400150332722,20.4881051784861,11.8754347149545,20.6165002066225,9.10720389640647,"R",FALSE
"Tennessee 1",96.2202120837403,19.6158709714785,582924,25.8611757278822,44,94.0605896799798,2.31779175451927,0.405144703401809,0.0532286778465277,0.791948955628519,0.463475612026372,1.90782061659769,4.12301616303972,57.6541021438844,8.77286865781464,2.47165457038697,31.101374627914,96.9412815976326,63.3099665430048,36.0974235837677,0.592609873227576,3.05871840236744,18.477136441241,86.3592876988155,6.31926734099625,3.09719746250351,0.0969221313413077,56.2107268381133,5.1,0.0702267105041477,92.2974704268516,1.87532386611097,4.81340543427465,23,78.6687908256364,13.8413578759245,7.36465528843596,1.3,6.7,71.1939917266819,28.806008273318,25.4266862607853,10.5459925493695,14.1276691734312,21.6831259475006,13.1991600624977,15.0173660064156,1031,325,718,47478,65629,88.4629509704152,66.3650768499445,49.5382665187767,11.5370490295848,12.4,7.1,32.5,16.8,14.2582302178421,36.3247855050725,19.6351332429255,7.88639297503937,13.8550392161752,8.0404188429454,"R",FALSE
